rho_Ti,Ti_keV,rho_ne,ne_1e19m-3,rho_Te,Te_keV
0.005947660586835837,29.24027339642481,0.0019825535289452884,9.734490010515245,0.0023790642347343433,34.50315457413249
0.026566217287866775,29.25867507886435,0.015860428231562265,9.697686645636171,0.021808088818398103,34.50315457413249
0.04956383822363203,29.295478443743427,0.08485329103885804,9.697686645636171,0.04797779540047581,34.539957939011565
0.07692307692307691,29.166666666666664,0.1459159397303727,9.62407991587802,0.06899286280729582,34.37434279705573
0.10269627279936559,28.78023133543638,0.1927042030134814,9.513669821240796,0.08762886597938145,34.190325972660354
0.12331482950039653,28.449001051524707,0.23433782712133228,9.421661409043107,0.1034892942109437,33.85909568874868
0.1423473433782712,27.89695057833859,0.28747026169706585,9.256046267087275,0.11816019032513879,33.52786540483701
0.1609833465503569,27.34490010515247,0.331086439333862,9.108832807570977,0.1304520222045995,33.08622502628812
0.17724028548770815,26.737644584647736,0.387390959555908,8.851209253417451,0.15146708961141953,32.35015772870662
0.19389373513084857,26.14879074658254,0.4544012688342585,8.556782334384856,0.20222045995241872,29.976340694006307
0.21451229183187948,25.431125131440588,0.5368754956383823,8.133543638275494,0.2505947660586836,27.860147213459513
0.2315622521808089,24.842271293375394,0.6003172085646312,7.839116719242899,0.29262490087232357,25.927970557308093
0.2581284694686756,23.977392218717135,0.6570182394924663,7.489484752891691,0.3445678033306899,23.701366982124078
0.28152260111023,23.186119873817034,0.7192704203013482,7.13985278654048,0.38818398096748613,21.677181913774973
0.3199841395717684,21.82439537329127,0.7739888977002379,6.845425867507885,0.43655828707375094,19.5241850683491
0.3501189532117367,20.867507886435327,0.8215701823949246,6.624605678233436,0.47620935765265654,17.81282860147213
0.3830293417922284,19.652996845425864,0.8806502775574941,6.311777076761302,0.506740681998414,16.598317560462668
0.408009516256939,18.84332281808622,0.9016653449643142,6.0725552050473155,0.5392545598731167,15.254994742376443
0.4333862014274385,17.923238696109355,0.9151467089611419,5.943743427970556,0.5796986518636004,13.76445846477392
0.4781919111816019,16.43270241850683,0.9274385408406027,5.722923238696108,0.6308485329103887,11.979495268138798
0.5170499603489295,15.21819137749737,0.942109436954798,5.354889589905358,0.6823949246629659,10.396950578338586
0.5531324345757337,14.07728706624605,0.956383822363204,4.931650893796004,0.7268041237113403,9.072029442691903
0.6007137192704204,12.789169295478441,0.971054718477399,4.45320715036803,0.7613005551149882,8.18874868559411
0.6451229183187946,11.556256572029437,0.9845360824742269,3.993165089379602,0.7977795400475813,7.3606729758149285
0.6954797779540048,10.231335436382754,0.9980174464710547,3.4595162986330195,0.837430610626487,6.532597266035751
0.7470261697065821,9.03522607781283,,,0.8699444885011896,5.870136698212406
0.8128469468675654,7.415878023133544,,,0.8957176843774781,5.391692954784432
0.8628072957969867,6.293375394321764,,,0.9195083267248216,4.600420609884328
0.8889770023790644,5.61251314405888,,,0.9401268834258525,3.717139852786538
0.9119746233148295,4.950052576235539,,,0.9520222045995244,3.0546792849631927
0.9270420301348137,4.287592008412197,,,0.9666931007137194,2.300210304942169
0.9460745440126883,3.477917981072551,,,0.978191911181602,1.5457413249211314
0.9659000793021413,2.300210304942169,,,0.9885011895321174,0.8280757097791778
0.9793814432989691,1.4721345951629843,,,0.9984139571768438,0.2392218717139798
0.999603489294211,0.2024185068349098,,,,
